Date,Close,Open,High,Low,Volume,Change
2021-06-17,1003.72,998.27,1004.7,994.76,1880000000.0,0.0052
2021-06-18,1015.88,1004.57,1016.33,1004.57,1850000000.0,0.0121
2021-06-21,1010.99,1014.59,1014.59,1006.83,1510000000.0,-0.0048
2021-06-22,1011.56,1012.01,1016.7,1008.11,1610000000.0,0.0006
2021-06-23,1016.46,1012.78,1020.85,1012.78,1860000000.0,0.0048
2021-06-24,1012.62,1017.11,1019.35,1010.18,1860000000.0,-0.0038
2021-06-25,1012.13,1013.97,1018.98,1011.31,1340000000.0,-0.0005
2021-06-28,1017.91,1013.47,1018.76,1013.47,1590000000.0,0.005699999999999999
2021-06-29,1022.52,1019.64,1026.83,1019.28,2060000000.0,0.0045000000000000005
2021-06-30,1029.96,1023.74,1030.94,1023.74,2089999999.9999998,0.0073
2021-07-01,1035.64,1030.48,1036.47,1028.48,1690000000.0,0.0055000000000000005
2021-07-02,1038.18,1036.28,1038.54,1033.94,1690000000.0,0.0025
2021-07-05,1047.33,1039.79,1048.16,1039.79,1740000000.0,0.0088
2021-07-06,1044.96,1047.6,1049.24,1043.51,1960000000.0,-0.0023
2021-07-07,1047.36,1045.0,1050.31,1042.42,1690000000.0,0.0023
2021-07-08,1034.48,1047.96,1049.95,1028.14,1870000000.0,-0.0123
2021-07-09,1028.93,1031.78,1031.78,1013.91,2190000000.0,-0.0054
2021-07-12,1034.64,1030.36,1037.01,1030.36,1720000000.0,0.0055000000000000005
2021-07-13,1043.31,1035.68,1044.64,1035.68,1710000000.0,0.0084
2021-07-14,1044.98,1043.5,1045.45,1038.68,1710000000.0,0.0016
2021-07-15,1054.31,1046.57,1055.82,1046.57,2060000000.0,0.0089
2021-07-16,1051.98,1053.85,1053.95,1044.7,1730000000.0,-0.0022
2021-07-19,1049.83,1049.51,1051.45,1046.9,1400000000.0,-0.002
2021-07-20,1043.64,1040.99,1049.2,1036.14,1650000000.0,-0.0059
2021-07-21,1042.03,1051.73,1051.95,1041.44,1320000000.0,-0.0015
2021-07-22,1050.25,1046.51,1051.94,1046.51,1620000000.0,0.0079
2021-07-23,1055.5,1053.01,1059.18,1053.01,1390000000.0,0.005
